"","Var.2","F2.hiPSC","F3.hiPSC","F3 D3 noDNMTi iOLC.1","F3 D3 noDNMTi iOLC.2","F3 D3 noDNMTi iOLC.3","F2 D3 iOLC","F3 D3 iOLC","PGP1 D3 iOLC","F3 D3+ANHX iOLC","PGP1 D3+ANHX iOLC","F3 D3+ZGLP1 iOLC","PGP1 D3+ZGLP1 iOLC","F3 D3+ARV7 iOLC","PGP1 D3+ARV7 iOLC","F3 D3+ZGLP1+ARV7 iOLC","PGP1 D3+ZGLP1+ARV7 iOLC","F3 D5+ARV7 iOLC","PGP1 D5+ARV7 iOLC","F2 D5 iOLC","F3 D5 iOLC.1","F3 D5 iOLC.2","PGP1 D5 iOLC","PGP1 D5 iOLC.2","F2 D5 reset iOLC","F3 D5 reset iOLC","PGP1 D5 reset iOLC","F2 D5 unsorted","F3 D5 unsorted","PGP1 D5 unsorted","hESC.1","hESC.2","Soma.wk7F.1","Soma.wk7F.2","Soma.wk7F.3","hPGC.wk7F.1","hPGC.wk7F.2","hPGC.wk9F.1","hPGC.wk9F.2","Fetal.Ovary.wk19.1","Fetal.Ovary.wk19.2","Fetal.Ovary.wk19.3","iPSC.M.1","iPSC.M.2","iPSC.M.3","iMeLC.M.1","iMeLC.M.2","iMeLC.M.3","d6PGCLC.M.1","d6PGCLC.M.2","d6PGCLC.M.3","xrOvary.M.d7.1","xrOvary.M.d7.2","xrOvary.M.d21.1","xrOvary.M.d21.2","xrOvary.M.d35.1","xrOvary.M.d35.2","xrOvary.M.d49","xrOvary.M.d63.1","xrOvary.M.d63.2","xrOvary.M.d77.1","xrOvary.M.d77.2","xrOvary.F.d77.1","xrOvary.F.d77.2","xrOvary.F.d120.DDX4neg","xrOvary.F.d120.DDX4.1","xrOvary.F.d120.DDX4.2","xrOvary.F.d120.DDX4.TFAP2Cneg"
"DLK1",16002,1.431943327,0.223974168,4.075897468,5.706511829,5.102902485,4.174512287,4.946639227,5.082165777,2.8974307,3.256611377,6.006464248,5.801550918,3.006416794,3.192246053,4.275957627,3.4549008,3.063601518,3.215017947,2.589884145,3.351403855,3.815291727,3.467221885,3.435188582,2.989010355,3.74433037,3.86729834,3.288364906,4.354876592,3.208425482,0.594393947,1.861547003,8.378755767,9.6961298,8.869368919,2.154423161,1.746710879,3.429768841,5.080078589,7.687463406,7.500032914,7.614422047,1.948272986,0,0,4.277317625,0,0,6.623762975,7.892120965,8.586730325,6.93904254,6.362844643,5.433020271,5.020436888,4.681539721,5.037940953,0,0,3.743981672,3.569557928,0,0,1.949444885,3.427377664,0,4.192212895,6.254383614
"ZIC1",9601,0,0,3.281749475,7.030729106,5.958162228,3.580799524,4.522678828,3.780852893,3.805666319,3.003857532,5.084995698,4.486447506,3.60576525,2.366465912,4.169231522,4.772341086,4.359930396,4.506023829,2.832396931,4.401313297,4.829532849,3.719989487,3.968810818,2.557489824,3.702871646,3.299663047,4.279255114,6.219617381,4.222221416,0.594393947,0.610505657,0,0,0,0,1.122979426,2.237237545,2.62256434,4.512425505,3.492430215,4.131104656,0,0,3.496927472,0,0,0,0,0,0,2.653402487,0,3.529877859,0,3.44156894,0,2.558226778,4.734145395,4.131845559,6.163329155,4.771065436,5.441455963,5.674955791,5.972751014,5.255465879,4.192212895,3.494896116
"OOEP",19686,0,0.417804418,0,0,2.71390913,2.708869798,5.780921549,2.527207917,7.726837869,7.342281165,4.587551438,1.957135784,4.484324601,4.096553583,5.554618668,3.4549008,6.470313818,4.667288262,6.107697789,7.140167302,6.475523088,6.530108888,4.759593569,6.944514518,6.668617527,5.331683942,4.189646773,3.09905326,3.080372013,0.748275953,0,0,0.454914584,0.421588503,5.8028237,6.259747457,6.208088362,6.053510311,5.076161976,4.825039496,4.942035827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.657362598,2.558226778,0,4.437220368,5.287395646,5.744401895,4.312444815,5.899086376,4.10968036,5.692818124,5.872848235,5.395577554
"ASB9",2619,2.685697336,2.37814037,0,5.883830101,4.981182975,3.902651816,3.862441503,2.695822853,3.410835616,3.256611377,2.512476371,2.667656756,4.075937054,2.213244044,3.980125216,3.149581621,2.776253614,2.620727008,5.180544762,4.559883148,4.355700184,2.80744527,3.046433234,4.95443399,4.675254287,4.577269135,5.125602867,4.235741149,2.784116853,0,0.43423714,2.291938969,1.987543963,2.135539838,0,0,0,1.119271266,3.574291788,2.474450606,2.702074627,1.948272986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.491318968,0,0,0,0,0,0,2.131502,5.723578,7.564928073
"ZCWPW1",1427,2.545865195,0.223974168,3.775199266,6.374186001,6.249314403,3.455303095,3.012015178,4.02206229,3.700853288,3.707973571,3.701369371,4.512713383,3.730957163,3.770140754,2.878625014,2.440717005,2.815461293,3.959403104,2.951368048,3.22452604,3.677839376,3.719989487,3.092650523,3.263156518,3.797818064,3.420881598,2.712455035,3.187320325,1.247260374,2.344460832,2.521339307,3.231714492,4.203434342,3.392762854,4.937616602,4.166929647,5.401061036,6.612322103,8.747604708,8.638967168,8.75380624,0,0,0,0,0,0,3.427832728,5.01092226,3.959972574,3.533935388,5.124145026,5.433020271,4.064215942,4.93517357,4.474770052,4.923101591,5.706784106,5.255311915,2.68622597,4.771065436,5.517710068,6.598211451,6.304992228,6.236457302,7.974778466,8.866486196
"NOBOX",3307,0,0,0,3.873664192,1.918571335,2.441078139,1.247393053,2.301808133,0.924660955,0.524904877,1.779945084,3.330637742,1.681344171,1.847186066,0.757625191,0,0,0.741417204,0.794692695,0.167039495,1.188587269,0,1.229436257,0.833409942,1.767394825,1.198281499,1.972085181,2.904453198,0,0,0,0,0,0,0,0,0.665909821,0,6.391079251,6.315019876,6.203539596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.956701365,0,4.179743813
"GDF9",11344,0,0,1.370960149,2.968872816,3.599548708,1.527546549,4.547112372,0.777941427,3.365834297,2.836679959,2.029711763,3.000241021,1.482024196,2.158327226,4.146905071,2.440717005,3.047225132,1.967614388,2.499054871,3.783061027,3.452867849,2.693985988,2.611187318,2.650252487,3.702871646,3.420881598,2.949292055,4.4998118,2.699464565,2.994179379,3.413850561,4.642839606,4.341735726,3.796728303,4.765209873,3.593694614,3.321069507,3.375592362,6.211548145,6.335519552,6.307513348,3.636507641,4.44319103,4.994078111,0,4.575886427,0,2.556023447,3.311303099,2.549437805,0,0,0,4.064215942,2.568596855,2.657362598,4.361721541,3.491318968,3.211877508,5.071146975,3.288086514,4.13013555,3.79495283,4.920049697,2.131502,3.646180888,4.179743813
"BMP15",6262,0,0,0,2.968872816,2.71390913,1.871167245,0.986603535,0.96562542,1.153721119,0.524904877,1.636719836,1.404561652,0.975027768,0.603687298,0.186679368,0.453220349,0.130095707,0.741417204,0.689081307,0.31673002,0.649454771,0.234481065,0,0.370956033,1.096882462,0.28187858,2.34842697,2.552255257,0,0,0,0,0,0,0,0,0,0,0,1.097198845,1.67940041,0,0,0,0,0,0,0,0,0,2.653402487,0,0,2.642182871,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPM2",10264,1.013540473,2.424010652,2.061034043,4.823595092,2.71390913,1.826811863,0.836095096,2.497084996,1.604759383,1.572780157,1.20050637,1.957135784,1.617915404,1.538629202,1.251816361,1.157244045,0.731673401,1.592374238,0.985216555,0.796193166,1.647156671,1.041874385,1.386095871,0.833409942,1.967380052,1.843711949,2.172493015,3.349138467,0.667951276,0,0,1.136926008,2.116469508,0.74743297,0,0,0.833571289,0,2.423478235,2.143447976,2.702074627,1.948272986,0,0,0,0,0,2.556023447,2.449775772,0,3.533935388,0,3.529877859,2.642182871,3.44156894,4.081199887,4.361721541,4.032872561,2.359739825,5.071146975,4.212282616,0,0,0,0,0,2.14554206
"ZP3",16685,2.72328047,3.20623336,0.842547032,4.823595092,4.848239846,3.410921896,2.784312816,4.153403085,2.540479274,3.321378829,3.213509893,4.347427304,2.956010771,3.806312329,2.24178177,3.129439808,2.167214365,3.315792867,2.261828786,2.592836953,2.967704147,3.160558289,3.931152301,2.627614976,3.570828715,3.505547223,2.505219272,2.679450003,1.979687242,0.226442023,0.233394912,1.886752595,1.311971884,2.342787446,0,1.844593961,1.824481476,2.676473198,8.880467304,8.421293612,8.630919347,3.259629338,0,0,0,0,0,0,3.311303099,0,0,0,2.649667836,3.521743039,0,3.538236881,0,0,2.359739825,0,2.428699559,1.747868843,1.281626722,2.907954061,0,2.757040129,0
