"","Var.2","F2.hiPSC","F3.hiPSC","F3 D3 noDNMTi iOLC.1","F3 D3 noDNMTi iOLC.2","F3 D3 noDNMTi iOLC.3","F2 D3 iOLC","F3 D3 iOLC","PGP1 D3 iOLC","F3 D3+ANHX iOLC","PGP1 D3+ANHX iOLC","F3 D3+ZGLP1 iOLC","PGP1 D3+ZGLP1 iOLC","F3 D3+ARV7 iOLC","PGP1 D3+ARV7 iOLC","F3 D3+ZGLP1+ARV7 iOLC","PGP1 D3+ZGLP1+ARV7 iOLC","F3 D5+ARV7 iOLC","PGP1 D5+ARV7 iOLC","F2 D5 iOLC","F3 D5 iOLC.1","F3 D5 iOLC.2","PGP1 D5 iOLC","PGP1 D5 iOLC.2","F2 D5 reset iOLC","F3 D5 reset iOLC","PGP1 D5 reset iOLC","F2 D5 unsorted","F3 D5 unsorted","PGP1 D5 unsorted","hESC.1","hESC.2","Soma.wk7F.1","Soma.wk7F.2","Soma.wk7F.3","hPGC.wk7F.1","hPGC.wk7F.2","hPGC.wk9F.1","hPGC.wk9F.2","Fetal.Ovary.wk19.1","Fetal.Ovary.wk19.2","Fetal.Ovary.wk19.3","iPSC.M.1","iPSC.M.2","iPSC.M.3","iMeLC.M.1","iMeLC.M.2","iMeLC.M.3","d6PGCLC.M.1","d6PGCLC.M.2","d6PGCLC.M.3","xrOvary.M.d7.1","xrOvary.M.d7.2","xrOvary.M.d21.1","xrOvary.M.d21.2","xrOvary.M.d35.1","xrOvary.M.d35.2","xrOvary.M.d49","xrOvary.M.d63.1","xrOvary.M.d63.2","xrOvary.M.d77.1","xrOvary.M.d77.2","xrOvary.F.d77.1","xrOvary.F.d77.2","xrOvary.F.d120.DDX4neg","xrOvary.F.d120.DDX4.1","xrOvary.F.d120.DDX4.2","xrOvary.F.d120.DDX4.TFAP2Cneg"
"SYNE3",14079,0,0,3.597529378,7.20778281,6.301104357,5.828427796,4.380354958,5.366687476,4.347165863,4.161508038,5.44347919,6.543076779,5.038585782,4.54489363,4.512624282,4.282042767,4.168797144,4.944104148,3.713990391,3.43565161,3.844136456,3.935003485,4.915575909,3.505899784,4.911966243,4.805917673,5.317612453,5.649490694,3.583906055,1.130682133,0.233394912,3.595963731,4.829439725,2.896974858,1.010970633,0,0.257641689,0.303896952,2.423478235,2.474450606,2.927677327,0,0,0,0,0,0,0,0,0,3.533935388,0,0,0,2.568596855,0,0,0,0,0,0,1.747868843,0,2.088401234,2.131502,3.944876973,5.395577554
"HORMAD1",8399,0,0,0.842547032,5.883830101,1.918571335,3.285429773,5.119526307,4.219465465,6.909541416,6.21075208,5.354725383,4.22568084,4.2741052,4.410356207,5.184443367,3.651328548,6.021931609,5.035595437,6.16790593,7.219547079,6.36293035,6.118434296,4.876482501,6.024921307,5.568111869,4.257407785,4.118587879,3.747824292,3.113466612,0,0,0,0,0,5.653689247,3.245089964,5.485333933,5.008320996,6.825139178,6.59557345,7.008663786,0,0,0,0,0,0,0,3.846988221,4.912859005,6.011180725,6.476972813,7.959629375,7.155368635,7.067947219,7.737088255,8.050126134,7.947783357,8.665379377,9.060033736,8.091768019,6.644751336,6.921422939,6.802115905,6.630380632,6.299410768,7.428186259
"HORMAD2",14111,0.117568657,0,0,6.250235358,5.102902485,2.607636906,2.463352193,2.798193041,2.95932776,3.042791169,2.085937202,3.907147683,2.70446607,1.701141047,2.931828765,2.47304546,2.909057733,3.179798879,2.560238589,1.934818266,2.858841997,3.216411971,2.512640851,1.975298252,2.629569463,2.222868926,2.949292055,3.270496975,0.667951276,0,0,0,0,0,0,0.957818324,0,0,4.92890284,5.04014252,5.089338022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.179743813
"TEX11",5056,0,3.166306978,0.842547032,6.48832474,6.659602948,4.433073233,5.273894692,4.548028643,6.383265164,6.108942562,6.148541622,4.22568084,4.944769249,3.136508338,5.916492259,3.885522477,6.606477118,5.228898473,6.432100204,7.62500341,7.366619193,6.628603489,5.618889806,6.882528101,7.418516393,5.45034812,4.931957734,5.449835997,3.145819033,0,0.233394912,0.677674888,0,0,3.827663009,4.222607101,4.646698897,3.375592362,6.838956024,6.771383259,6.781961975,0,2.985119799,0,0,0,3.953189391,0,0,0,0,0,0,2.642182871,4.373598599,0,3.430240626,0,3.743981672,3.569557928,5.338307109,4.75193641,5.633965923,5.814986392,5.95119651,6.669613371,8.085032582
"TEX12",9335,0.594003588,0,0.842547032,0,3.599548708,2.380992681,3.53609727,1.652622953,5.667079881,5.751679666,3.380171611,1.404561652,3.859920507,4.338070057,4.223581258,2.910855692,5.218651707,4.667288262,5.283918236,5.709025949,4.709260647,4.471058524,3.555574204,4.577147367,4.176625854,2.576006885,2.712455035,2.552255257,2.513622406,0,0,0,1.078681522,0.74743297,1.275825394,0.55697886,0.257641689,0.554784167,3.700742435,4.704128217,4.380350766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.359739825,4.113435888,2.428699559,3.013616234,1.281626722,2.088401234,0,2.757040129,3.877581221
"RAD21L1",37256,0,0.417804418,1.75686942,6.739487195,6.44617409,3.658782087,3.511474853,3.716947201,4.500762043,3.383363149,4.355654013,4.538509597,4.675581006,3.048643598,4.112753879,2.407647484,3.930672153,4.506023829,3.399335425,5.273699102,4.973555145,4.107393303,4.064677315,2.878308055,5.192178795,4.321089082,3.330899347,3.886120564,2.410877726,0.226442023,0,0,0,0,2.554166219,1.844593961,0.257641689,3.913460618,4.821655494,5.227296279,4.834754236,0,0,0,0,0,0,2.556023447,0,3.420633605,0,0,4.466033951,2.642182871,3.44156894,2.657362598,5.138684755,4.032872561,5.090100683,3.569557928,3.288086514,5.185046248,5.200780401,4.756069082,5.692818124,5.030355286,4.991919177
"FAM9C",16436,0,0,0.842547032,7.61200907,5.892152628,6.049603111,6.147384723,3.444460432,6.05505945,5.120624845,5.681038058,3.000241021,5.424185131,4.274935453,4.768014923,1.569731922,4.950193867,3.315792867,5.62908603,5.685131048,5.560615357,3.79527802,2.974206745,5.360082164,5.939291356,3.6612885,5.076451938,5.561396249,2.562375014,0,0,0.378267318,0,0,5.506800982,4.917120539,5.552987697,3.913460618,6.892936988,7.263768052,7.414702162,0,0,0,0,0,0,3.427832728,3.311303099,4.351645602,6.588667863,6.860180039,6.804515485,7.207474569,6.228526789,6.8135827,6.696084218,5.965207418,6.068766367,6.268805838,5.338307109,6.384597653,5.360070121,8.116266232,5.692818124,6.585583106,7.072092986
"SMC1B",1400,0,0,0,5.797893473,6.978674148,5.143073927,4.485234654,4.687937378,5.164624168,4.374882419,5.296347082,4.707217929,4.931786458,3.824063618,3.888899613,2.934265925,3.434841028,3.710692014,5.100420762,5.409059224,5.251701565,4.220975941,4.289657302,5.286123428,5.731650915,5.159471363,4.724275067,4.90316954,3.675398505,0.422116858,0,1.321292814,1.078681522,1.431359569,1.010970633,3.208788917,4.401825138,6.968913806,9.236776528,9.179435472,9.250330798,1.948272986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.359739825,0,3.822958186,0,2.749430829,2.088401234,2.956701365,6.008111927,7.277113599
"SPATA22",8077,0,0,0,2.968872816,4.538779013,3.594092869,3.408554575,2.939296094,3.838977506,3.471615427,3.608454759,3.984257565,3.078870062,2.460260425,3.080592345,1.628319354,2.715368805,3.249397695,3.817857509,3.833622113,3.612277214,2.878412514,3.069726944,3.669976999,3.716824018,2.410216026,3.054565316,3.09905326,1.361865868,0.226442023,0,0.677674888,0.454914584,0,4.020501976,3.850877202,3.692303663,4.042233901,6.499445412,6.50798064,6.56415396,0,0,0,0,0,0,2.556023447,0,0,0,0,0,0,0,4.081199887,3.430240626,5.706784106,6.236301296,6.847518122,5.857807514,5.590135269,5.083893174,3.808494319,5.255465879,5.642720989,5.710634845
"SYCE2",10640,1.072973147,2.30647875,1.91695284,0,0,2.470207783,1.906213579,2.301808133,1.978081487,1.675451729,1.910226796,2.570977732,2.322121481,1.847186066,0.757625191,0.453220349,0.958778085,1.481047185,0.985216555,0.576288609,1.772495879,1.160522923,2.079773487,1.053181957,2.299522018,2.676814391,2.34842697,2.552255257,0.83599427,1.338860555,3.315494098,2.200805178,1.688945665,1.23732267,0.857752691,1.528441672,1.742555599,2.38419896,5.582548629,5.966407564,5.721626388,1.948272986,4.841552666,5.97126384,5.239629553,4.180873202,5.47468124,4.920534818,3.311303099,5.48176876,0,0,0,4.064215942,5.150813607,4.474770052,4.923101591,3.491318968,4.437220368,0,3.288086514,3.921410026,4.065436521,0,2.956701365,5.030355286,4.991919177
"DMRTB1",8300,0,0,0,2.968872816,3.599548708,2.633618828,3.297724167,3.312306589,4.101674075,4.032043942,3.754375086,2.924003567,4.652026123,4.139719508,4.265633369,3.208372869,4.522768093,3.498403908,2.529971051,3.085404535,2.508617807,2.770608112,2.211272174,2.458350323,3.015535529,2.576006885,3.152676458,3.423713889,1.906045501,0,0,0,0,0,1.59957155,0.55697886,0,2.017269007,5.51530374,5.312491899,5.751430348,0,0,0,0,0,3.953189391,0,0,0,0,0,0,0,0,0,0,0,2.359739825,0,0,1.747868843,0,0,0,5.642720989,6.74365131
"DMC1",2217,3.53768362,4.344391461,4.380613807,7.240727855,6.659602948,4.620133253,3.974778709,4.647370697,4.031369214,4.230584826,4.051236227,4.613241071,4.68334794,3.10781059,3.080592345,2.027074129,2.872344555,3.40998574,3.587439096,2.860041093,3.800650173,3.680818669,3.798012503,3.72432976,4.104166549,4.641039737,4.462582635,4.677949577,3.719057045,3.850573332,3.92822294,1.886752595,0.800250361,3.296375079,4.174444544,4.812146408,5.003967859,4.943839409,5.956632808,5.82858239,5.864846041,4.393269304,3.891012903,3.496927472,3.349862834,4.180873202,0,3.427832728,0,3.420633605,2.653402487,4.414497105,0,3.521743039,5.150813607,4.783662726,4.923101591,4.988116907,3.211877508,2.68622597,4.985889854,5.275674957,5.083893174,5.067279584,5.255465879,3.646180888,2.97254001
"MEIOC",14840,4.188694121,4.332414274,0,5.964934269,5.673803171,3.825852802,3.326240141,3.550929819,4.639567693,4.390059639,4.022712931,5.1701928,4.221732561,3.770140754,3.834058002,2.624639182,3.484339265,4.46272479,4.797886413,3.997812952,4.770649717,4.33890211,3.931152301,4.529099452,4.856328965,4.224481048,3.823246412,3.423713889,2.562375014,4.464231211,4.57457087,3.915487841,3.007793151,4.194518691,4.440383281,4.812146408,5.0975637,4.743740448,6.995193044,6.994038631,6.79633044,4.740501596,5.627180007,4.994078111,4.837264454,3.635144258,0,2.556023447,4.543283001,3.420633605,2.653402487,0,5.029071485,2.642182871,0,3.538236881,2.558226778,5.391745135,4.131845559,4.507483874,5.172832763,4.13013555,3.79495283,4.10968036,3.860658652,2.757040129,6.317692062
"MEIOSIN",34202,0,0.223974168,0,6.114625839,6.021283282,2.975856634,2.463352193,3.128028278,2.675686902,2.542809211,2.9959986,4.512713383,3.685273762,2.986945925,1.41017428,0.57736731,1.272318549,2.33081762,2.064791103,0.986969527,1.994587048,1.64052921,2.369811467,1.18305743,2.770014185,2.467622788,2.646629447,3.56220978,0.258545111,0,0,0,0,0.421588503,0,1.405528532,0,0.954492422,5.370611129,5.541501241,5.421425748,0,2.985119799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.288086514,1.747868843,0,0,0,2.757040129,4.179743813
"BEND2",14262,0,0,0,6.739487195,5.892152628,3.380557318,4.696576377,2.72210441,5.735011001,4.107439492,4.422683813,3.497750722,5.400821045,3.487834958,4.375329394,2.339143644,3.94841803,3.068669162,4.141872322,4.204047288,3.543593198,4.165302122,3.453013875,3.493433835,4.196677222,2.288058835,2.893627199,3.85950158,0.667951276,0,0,0,0,0,0,0,0,2.50829897,5.878512648,5.885302009,6.137357287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.192212895,4.429449153
